label,script
0,"A little bit of a slow start, but you came back strong in the end"
0, What do you think was the key to turn it around
0,"Well, yeah, it was a really tough start"
0, I think she started playing really solid and I was bit in and out with my attitude and with my game
0,"But then I was just waiting for my chances, and I think in the second set I took my chances"
1,In the third set I think I create chance for myself because I was playing really good and felt the ball really good
0,"Yeah, in the end I think just playing solid was the key for me today"
0,"KiKi told us that you two never played before, right"
0,Yeah
1,"So we can see KiKi deliver many variations in her techniques, like dropshot, and also kept you running from side to side"
0, Is this part of the reason that maybe you need some time to adapt to her style
0," Because you two never play before, how did you adjust your strategy or emotion to turn around in the second half"
0,"Yeah, first of all, of course we never played each other before, but she was in the same situation"
0, I was not really thinking about it
0, I knew that she was going to bring like variations with her game because she's playing lots of doubles and she's really a good doubles player as well
0, So I was really kind of expecting this
1,"But, you know, it was not about how good she can dropshot or something"
1, I don't think she did many in the first set
0, I was just giving her too much time to open the court
1,"Yeah, I think this was the big problem in the first set"
1," Then when I had some time in restroom to think about what happened in the first set, I was like, Come on; you need to step the court and just try to do something with the ball, otherwise she's going to kill you"
0,"Yeah, I was trying to put pressure with my shots, and I think it worked really good"
0,"This is your opening match of the tournament, but it's such a long and tough one; you need two hours"
0," How will this long, tough match influence you in your preparation for the future games"
0,"Well, I expect long matches here because everyone is playing so well"
0," It's kind of normal because everyone have a high rank, so everyone is in the same kind of condition"
0, It's quite normal that there will be long matches
0,"Well, I have my fitness coach here so I'm prepared for long tournament, for long matches"
0, I will try to do my best to recover well
0," I don't know yet when I'm playing, but not playing tomorrow, so I have couple of days off to recover and go for next match"
0,Looking forward for next challenge
0,I think you were the first player to arrive here for the tournament
0, How much do you think that extra preparation helped you
1,When I lost the first set I thought it was the worst thing to do
0,"  Yeah, well I thought that it was bad idea to come here earlier"
0,"Yeah, but then I started to think differently"
0, I started to say to myself what to do on court
0,"Yeah, it's a bit strange because the balls and the court are completely different from last years"
0, It's so different
0, I think everyone is in the same condition and everyone is trying to do their best
0,Everyone is on such a high level here; everyone is adapting really well
0," It's quite normal because here is top players, so we're used to adapt fast and quick"
0,"Last two questions: You mentioned that it is difficult to like find training bases in your country, in Ukraine, and also get out of the country to find good sponsors, or also sponsor your training and playing matches overseas"
0, Did you also come across such challenges or difficulties when you were young
0, How did you overcome the challenges
0, Who give you the biggest help
0, This is the first question
0,Okay
0, I answer first
0," Well, I got really lucky because I have great support from my family"
0," My brother, he used to play professional as well, and was coaching me when I was young, until 12 years old"
0," Then I moved to the other city, which called Kharkiv in Ukraine where I got sponsored"
0, I'm still the ambassador of the place where I used to practice for many years when I was young called Superior Golf Club
0,"There is also tennis court, so I was there most of the time"
0, I got really lucky that I had this opportunity
0," Yeah, then I moved and I was practicing in the academy"
0,So my career was all the time like step by step
0, I don't know
0, Everything just was going not quick
0," Was not rise so fast, but then everything was like quite solid in knew my"
0, I think it helped me a lot
